id,result,year,school_id,subject_id
59446,45.83,2015,8169,1
59447,61,2015,8169,8
59448,61.2,2015,8169,7
59449,64.71,2015,8169,6
59450,77.73,2015,8170,2
59451,51.81,2015,8170,1
59452,59.95,2015,8170,8
59453,59.56,2015,8170,7
59454,70.2,2015,8170,6
59455,57,2015,8170,11
59456,78.43,2015,8170,3
59457,66.25,2015,8170,9
59458,55.43,2015,8170,4
59459,68.71,2015,8171,2
59460,39.79,2015,8171,1
59461,63.14,2015,8171,8
59462,54.8,2015,8171,7
59463,67.74,2015,8172,2
59464,48.33,2015,8172,1
59465,53.18,2015,8172,8
59466,56,2015,8172,7
59467,58.4,2015,8172,9
59468,53.6,2015,8172,11
59469,48.75,2015,8172,3
59470,66.7,2015,8173,2
59471,48.36,2015,8173,1
59472,51.6,2015,8173,8
59473,42.5,2015,8173,4
59474,53.4,2015,8173,7
59475,59.55,2015,8174,2
59476,21.85,2015,8174,1
59477,49.92,2015,8174,8
59478,44,2015,8174,4
59479,66.61,2015,8175,2
59480,27.94,2015,8175,1
59481,47.41,2015,8175,8
59482,50.75,2015,8175,9
59483,70.69,2015,8176,2
59484,39.83,2015,8176,1
59485,53.8,2015,8176,8
59486,57.75,2015,8176,7
59487,58.5,2015,8176,6
59488,63.45,2015,8176,9
59489,56.25,2015,8176,4
59490,70.07,2015,8177,2
59491,43.88,2015,8177,1
59492,55.6,2015,8177,8
59493,57.5,2015,8177,7
59494,65.1,2015,8177,6
